cell_line,drug,moa,n_cells,effect_size,effect_cosine,n_deg,replicate_noise,snr,nn_drug,nn_dist,isolation,ceiling_nir
CVCL_0480,Dapagliflozin ((2S)-1,2-propanediol, hydrate),Glucose transporter inhibitor,30,1.9052250267224093,0.05431163133666739,102,2.850872437538329,0.6682954318249094,Procainamide (hydrochloride),2.70568120617855,0.9490712985091859,0.9565217391304348
CVCL_0480,Darinaparsin,unclear,27,1.8733960484218488,0.052084998526095605,91,2.766608261144102,0.6771453966696122,Procainamide (hydrochloride),2.532132973816948,0.9152481069979205,0.991304347826087
CVCL_0480,Delamanid,unclear,23,1.7406653709561575,0.04468237311264922,111,3.427619605643972,0.5078350491664684,Procainamide (hydrochloride),2.7501558024233317,0.8023515205406347,0.7391304347826086
CVCL_0480,Demeclocycline,unclear,29,1.8092647706183138,0.049999779830856794,118,2.971807518489746,0.6088095407800068,Procainamide (hydrochloride),2.5608583522541166,0.8617174350361456,0.9043478260869565
CVCL_0480,Dexmedetomidine,Adrenoceptor agonist,24,1.8797673425208479,0.05115089537758233,91,3.15277528380239,0.5962262366678297,Procainamide (hydrochloride),2.6358539961434646,0.8360424574771802,0.9391304347826087
CVCL_0480,Diammonium Glycyrrhizinate,unclear,25,2.123925474341084,0.06749517615793055,167,2.9526605662716268,0.7193259864011392,Procainamide (hydrochloride),2.744707306472172,0.9295708886504213,0.9565217391304348
CVCL_0480,Docetaxel,Microtubule inhibitor,21,2.1552948021989327,0.06129346770163968,112,3.298245259786813,0.6534671112779051,Procainamide (hydrochloride),2.913213714575624,0.8832616998178976,0.9217391304347826
CVCL_0480,Docetaxel (Trihydrate),Microtubule inhibitor,18,2.214339672121828,0.06593764526437285,122,3.6170149501340494,0.6122008624929136,Procainamide (hydrochloride),2.9369778899450156,0.8119894251020912,0.8347826086956521
CVCL_0480,Elagolix sodium,unclear,14,2.40195115883043,0.08976532184351416,212,4.503785905704364,0.5333182369499823,ULK-101,3.3739556767482393,0.7491376693716469,0.17391304347826086
CVCL_0480,Eplerenone,unclear,15,2.073733709415194,0.06623619784625956,172,4.141722591884976,0.5006935311115075,Procainamide (hydrochloride),3.2789905376679247,0.7916972865571844,0.33043478260869563
CVCL_0480,Erdafitinib,Other TK inhibitor,15,2.2384380235732677,0.05793164071007284,117,4.256425013077352,0.5258962666312544,Procainamide (hydrochloride),3.3569053506302824,0.7886677999298933,0.2782608695652174
CVCL_0480,Estrone sulfate (potassium),unclear,25,2.0626138512527605,0.06545961101033437,131,3.1283152981622977,0.6593369448611608,Procainamide (hydrochloride),2.8492758169092327,0.9108019957524792,0.8869565217391304
CVCL_0480,Fenofibrate,unclear,12,2.4843608738136402,0.0944328085127567,211,4.520746075871474,0.5495466527247329,Procainamide (hydrochloride),3.5714152608635286,0.7900057204993667,0.26956521739130435
CVCL_0480,Folic acid,unclear,9,3.1652975881656675,0.08659576632401855,196,5.255528950187724,0.6022795456302462,Procainamide (hydrochloride),4.14013382973071,0.787767295922293,0.20869565217391303
CVCL_0480,Furosemide,unclear,17,2.1451106086490332,0.060996145400562196,98,3.6587615336320765,0.5862941842289372,Procainamide (hydrochloride),3.089292948518309,0.8443548233796883,0.7391304347826086
